TelepulesBp1Nv2egyeb3,teruletm2,szobAk,eptAtestApusategla1p,kozoskoltseg,Futesgazcirko1gazkonv,Emeletszutfszfelemf11,allapotfelujAtott1ujsze,Liftigen1nem0,Kilataspanorama1utcai,arEft
1,110,4.5,1," ",4,2,4,1,NA,99990
1,103,4,1," ",1,1,4,1,3,99990
1,103,4,1," ",1,1,4,1,3,99990
1,110,4,1," ",4,2,4,1,NA,99990
1,103,4.5,1," ",1,1,4,1,3,99990
1,87,2.5,1," ",4,1,4,1,5,99900
1,141,5,1," ",1,1,2,1,NA,99900
1,103,2.5,1," ",1,2,NA,0,3,99900
1,87,2.5,1," ",1,1,2,1,1,99900
1,100,4.5,1," ",1,1,4,0,3,99900
1,95,4,1," ",1,2,1,1,2,99900
1,111,3.5,1," ",1,2,1,NA,2,99900
1,123,3.5,1," ",1,2,6,1,2,99900
1,123,4,1," ",1,2,6,1,2,99900
1,111,3,1," ",1,2,2,0,NA,99900
1,92,3,1," ",1,2,6,1,NA,99900
1,100,4,1," ",1,1,1,1,2,99900
1,100,2,1," ",1,1,1,1,2,99900
1,111,3,1," ",1,2,1,NA,2,99900
1,111,3,1,"NA",1,2,NA,0,3,99900
1,111,4,1," ",1,2,1,0,2,99900
1,96,4,1," ",1,2,1,NA,2,99900
1,84,4,1," ",1,2,1,1,2,99900
1,129,2,1," ",1,1,1,1,3,99900
1,95,2.5,1," ",1,2,1,1,2,99900
1,126,4.5,1,"NA",1,NA,NA,0,4,99890
1,104,3,1," ",4,NA,2,NA,2,99800
1,104,4,1," ",4,2,1,1,2,99800
1,104,4,1,"NA",4,2,NA,1,3,99800
1,95,4,1," ",1,NA,1,NA,3,99800
1,104,2.5,1," ",4,2,1,1,2,99800
1,82,3.5,1," ",1,1,2,0,NA,99500
1,96,3.5,1," ",1,1,2,0,NA,99500
1,88,3,1,"NA",4,1,NA,1,3,99500
1,117,3,1," ",1,1,6,1,2,99500
1,86,3,1," ",1,2,1,1,2,99500
3,240,8,1," ",1,1,3,0,2,99500
1,176,5,1," ",1,NA,NA,0,3,99088
1,176,6,1," ",1,1,4,NA,3,99049
1,176,6,1," ",1,1,4,0,3,99049
1,89,2,1," ",4,1,2,1,NA,99000
1,82,3,1," ",1,2,4,1,2,99000
1,118,3,1," ",6,2,2,1,NA,99000
1,101,3.5,1," ",1,2,2,1,NA,99000
1,77,2.5,1," ",1,1,2,0,NA,99000
1,91,3,1," ",1,NA,1,NA,2,99000
1,82,4,1," ",4,2,2,1,1,99000
1,91,4,1," ",4,2,2,1,NA,99000
1,53,2.5,1," ",1,NA,1,NA,1,99000
1,160,2,1," ",6,2,3,1,NA,99000
1,103,6,1," ",1,1,4,1,3,99000
1,103,3,1," ",1,1,4,1,3,99000
1,103,4,1," ",1,1,4,1,3,99000
1,90,3,1," ",6,1,5,0,NA,99000
1,93,4,1," ",6,1,5,0,1,99000
1,93,3,1," ",6,1,5,NA,1,99000
1,91,4,1," ",3,2,1,1,2,99000
1,91,4,1," ",3,2,1,1,2,99000
1,108,3.5,1," ",1,1,3,NA,1,99000
1,103,2,1," ",1,1,4,1,3,99000
1,103,2,1," ",1,1,4,1,3,99000
1,103,2,1," ",1,1,4,1,3,99000
1,116,3.5,1,"NA",4,2,NA,0,3,99000
3,154,3.5,1," ",1,3,1,0,2,99000
1,120,3,1," ",1,1,2,1,NA,99000
1,77,4,1," ",1,1,2,0,NA,99000
3,97,4,1," ",3,1,4,0,3,99000
1,103,4,1," ",1,1,4,1,3,99000
1,103,4.5,1," ",1,1,4,1,3,99000
1,134,4,1," ",4,3,NA,1,1,99000
1,134,4,1," ",4,3,2,1,1,99000
1,81,4,1," ",1,2,4,0,1,99000
1,103,2,1," ",1,1,4,1,3,99000
1,93,4.5,1," ",1,3,1,1,1,99000
1,82,5,1," ",4,2,2,1,1,99000
3,137,2,1," ",3,3,4,0,3,99000
1,123,3,1," ",1,1,3,0,2,99000
3,76,3.5,1," ",6,2,4,1,1,99000
1,84,3,1," ",1,1,2,0,1,99000
1,87,2.5,1," ",6,3,4,1,4,99000
1,87,3,1," ",6,3,4,1,4,99000
1,117,3.5,1," ",1,2,1,1,2,98200
1,105,4,1," ",1,2,3,1,NA,98104.5
1,100,4,1," ",6,1,4,1,1,98101.8
1,111,2.5,1," ",1,1,2,1,NA,98000
1,128,3.5,1," ",1,2,3,NA,2,98000
1,82,3,1," ",4,2,4,1,2,98000
1,93,2.5,1," ",1,1,1,NA,4,98000
1,83,3,1,"NA",4,2,NA,1,4,98000
1,130,3,1,"NA",2,3,NA,1,1,98000
1,105,3,1," ",1,2,3,0,NA,98000
1,105,4,1,"NA",1,2,NA,0,3,98000
1,94,3,3," ",1,1,1,0,2,98000
1,93,4,1," ",1,1,1,0,4,98000
3,87,3,1," ",6,2,4,1,1,98000
1,91,2.5,1," ",2,1,5,1,2,97700
1,91,2.5,1," ",2,1,5,1,2,97700
1,101,4,1," ",4,NA,2,NA,1,97600
1,119,4,1," ",1,3,NA,1,1,97500
1,99,4,1," ",4,3,4,1,5,97300
1,91,4,1," ",1,1,3,0,2,97000
1,177,4.5,1," ",6,2,NA,NA,2,97000
3,88,3,1," ",6,2,4,1,1,97000
1,93,4,1," ",6,1,4,1,1,96987.5
1,90,2,1," ",1,2,6,1,NA,96900
1,80,2,1," ",4,3,2,1,2,96900
3,78,3,1," ",1,1,4,1,3,96580.96
1,100,2.5,1,"NA",3,3,NA,1,3,96000
1,96,3,1," ",1,2,4,1,2,96000
1,100,3.5,1," ",1,2,2,1,NA,95900
3,84,2.5,1," ",4,2,4,0,2,95753.6
3,84,2.5,1," ",4,2,4,0,2,95753.6
1,85,3,1," ",1,2,4,1,3,95700
3,70,4,1," ",1,1,4,1,3,95691.96
1,89,2.5,1," ",4,2,4,1,NA,95683.997
1,95,3,NA," ",4,2,NA,NA,NA,95680
1,91,3,1," ",4,2,2,1,NA,95500
1,91,3,1," ",4,2,2,1,NA,95500
1,91,3.5,1,"NA",4,2,NA,1,3,95500
2,76,2,1," ",6,3,4,1,1,95032.3
1,98,2.5,1," ",1,2,3,1,NA,95000
1,88,3,1," ",1,2,3,1,NA,95000
1,125,2.5,1,"NA",4,1,NA,0,3,95000
1,85,4,1," ",4,1,1,1,2,95000
1,85,3.5,1," ",4,1,1,1,2,95000
1,85,3.5,1," ",4,1,1,1,2,95000
1,91,3.5,1," ",1,1,1,0,4,95000
1,86,3.5,1," ",1,2,4,1,2,95000
1,112,2.5,1," ",1,1,NA,NA,2,95000
1,86,2.5,1,"NA",1,2,NA,1,3,95000
1,54,4,1," ",1,2,2,1,1,95000
1,86,2,1," ",1,1,4,0,3,95000
1,94,2.5,1," ",4,1,6,0,1,95000
1,120,3,1,"NA",4,3,NA,1,1,94999
1,104,3,1,"NA",1,2,NA,1,3,94990
1,96,3,1," ",4,2,4,1,NA,94950
1,97,4,1," ",6,1,NA,0,1,94900
1,89,3,1," ",6,1,NA,0,1,94900
1,117,3.5,1," ",1,1,1,1,2,94900
1,121,3.5,1," ",1,NA,3,NA,2,94900
1,54,3,1,"NA",3,NA,NA,1,3,94900
1,78,2.5,1,"NA",1,NA,NA,1,3,94900
1,117,2,1," ",1,1,1,1,2,94900
1,101,3,1," ",4,1,4,1,3,94790
1,94,4,1," ",4,2,4,1,2,94500
1,191,5,1," ",1,NA,3,NA,3,94500
1,189,4,3," ",6,3,4,1,NA,94374
1,71,3,1," ",1,1,1,NA,2,94200
1,71,3,1," ",1,1,1,0,2,94200
1,99,2.5,1," ",1,2,2,0,NA,94000
1,89,4,1,"NA",1,NA,NA,1,4,94000
1,102,3.5,1,"NA",1,2,NA,1,3,94000
1,102,3,1," ",1,1,2,1,NA,94000
1,118,3,1," ",1,1,2,1,NA,94000
1,86,4.5,1," ",1,1,1,1,2,93990
1,86,3,1," ",1,1,1,1,2,93990
1,71,3,1," ",1,1,1,1,2,93990
1,71,3,1," ",1,1,1,1,2,93990
1,86,3,1," ",1,1,1,1,2,93990
1,110,3,1," ",4,2,2,1,NA,93990
1,95,4,1,"NA",1,2,NA,1,3,93900
1,125,6,1,"NA",1,2,NA,1,3,93900
1,125,6.5,1," ",1,2,3,1,2,93900
1,125,6.5,1," ",1,2,3,1,2,93900
1,99,3,1," ",4,1,4,1,4,93500
1,125,5,1," ",1,2,5,1,2,93000
1,117,2,1," ",1,3,5,1,NA,92800
3,116,4,1," ",1,2,4,0,1,92800
1,94,3,1," ",4,3,4,1,NA,92471.4
1,94,3,1," ",4,3,4,1,NA,92471.4
1,111,3.5,1," ",5,3,2,1,NA,92400
1,101,2.5,1," ",1,1,3,0,NA,92000
1,86,2,1,"NA",4,1,NA,1,3,92000
1,101,3.5,1," ",1,1,3,0,NA,92000
1,86,2.5,1," ",1,1,4,0,3,92000
1,74,3,1," ",6,3,4,0,3,91990
1,91,3,NA," ",4,2,NA,NA,NA,91950
1,66,2,1," ",4,1,4,1,NA,91483.173
1,110,3,1," ",5,3,2,1,NA,91300
1,112,3.5,1," ",5,3,2,1,NA,91200
1,67,3,1," ",4,1,1,1,1,91145.621
1,180,5.5,1," ",1,1,3,1,NA,91000
1,170,3,1," ",1,NA,6,1,2,91000
1,77,3,1,"NA",1,2,NA,0,3,91000
1,180,5.5,1," ",1,1,3,1,NA,91000
1,93,3,1," ",1,1,2,1,NA,90900
1,180,5.5,1,"NA",1,1,NA,1,3,90900
1,107,3,1," ",1,2,3,1,NA,90837.5
1,67,2,1," ",4,1,4,NA,3,90387.943
1,67,3,1," ",4,1,1,1,1,90292.738
1,110,4,1," ",6,2,2,0,NA,90000
1,107,3,1,"NA",4,2,NA,0,3,90000
3,100,2,3," ",3,NA,NA,0,1,90000
1,110,4,1," ",6,2,2,0,NA,90000
1,115,3,1," ",2,2,3,1,2,89999.999
1,115,3,1," ",2,2,3,1,2,89999.999
1,124,4,1," ",1,2,5,1,2,89990
1,124,4,1," ",1,2,5,1,2,89990
1,78,3,1," ",6,1,1,NA,2,89990
1,78,3,1," ",6,1,1,NA,2,89990
1,78,3,1," ",6,1,1,0,2,89990
1,172,5,1," ",1,NA,NA,0,4,89956
1,172,6,1," ",1,1,4,NA,3,89950
1,172,6,1," ",1,1,4,0,3,89950
1,101,3,1," ",1,2,2,0,NA,89900
1,72,2.5,1,"NA",1,NA,NA,0,3,89900
1,89,3.5,1," ",1,3,2,1,NA,89900
1,73,2.5,1," ",1,1,2,1,NA,89900
3,110,4,1," ",1,1,4,1,5,89900
3,97,3,1,"NA",1,NA,NA,0,1,89900
1,101,3,1," ",1,2,2,0,NA,89900
1,75,2.5,1," ",1,1,3,NA,1,89900
1,82,2.5,1," ",1,NA,1,NA,4,89900
1,146,3,1," ",4,2,2,1,NA,89900
3,84,4,1," ",6,NA,NA,1,1,89900
1,116,3,1,"NA",NA,2,NA,1,3,89900
1,94,3,1," ",1,NA,1,NA,1,89900
1,99,2.5,1,"NA",1,2,NA,0,3,89900
3,60,3,1," ",3,1,4,NA,1,89900
1,125,3,1," ",1,1,6,0,NA,89900
1,101,3,1," ",1,2,2,0,NA,89900
1,149,3,1," ",4,2,NA,1,3,89900
1,120,3,1," ",1,2,1,NA,2,89900
1,110,5.5,1," ",4,2,3,1,1,89900
1,120,3,1," ",1,2,NA,NA,2,89900
1,117,3.5,1," ",2,2,5,0,NA,89900
1,120,4,1," ",1,2,1,0,2,89900
1,101,5,1,"NA",NA,2,NA,0,3,89900
1,85,4,1," ",1,NA,NA,NA,NA,89900
1,73,5,1," ",1,1,2,1,NA,89900
3,86,4,1," ",6,3,4,1,1,89900
1,105,4,1," ",4,2,2,1,1,89900
1,149,3.5,1," ",4,2,1,1,2,89900
1,110,5,1," ",4,3,3,1,1,89900
3,114,4,1," ",6,1,4,0,1,89900
1,75,5,1," ",1,1,3,0,1,89900
1,85,2.5,1," ",1,1,3,0,1,89900
3,60,4,1," ",3,1,4,0,1,89900
3,108,2.5,1," ",6,1,4,0,3,89900
1,107,3,1," ",4,1,2,1,NA,89840
1,72,3,1," ",4,3,2,1,1,89800
1,72,3,1," ",4,3,2,1,1,89800
1,77,2,1," ",1,2,2,0,NA,89500
1,80,3,1," ",1,1,1,NA,3,89500
1,76,3,1," ",4,2,1,1,2,89500
1,120,5,1," ",1,1,1,0,2,89500
1,120,5,1," ",1,1,1,NA,2,89500
1,129,4,1,"NA",1,2,NA,0,3,89500
1,77,3,1," ",1,2,2,0,NA,89500
3,76,3.5,1," ",6,1,4,1,1,89500
3,93,3.5,1," ",6,1,4,1,1,89500
3,94,2,1," ",6,1,4,1,1,89500
1,108,3.5,1," ",1,1,2,1,4,89000
1,59,3.5,1," ",1,NA,1,NA,1,89000
1,121,2,1," ",1,2,2,1,NA,89000
1,107,4,NA," ",2,1,NA,NA,NA,89000
1,101,4,NA," ",1,1,NA,NA,NA,89000
1,107,4.5,1,"NA",2,1,NA,0,3,89000
1,125,4,1,"NA",1,2,NA,0,3,89000
1,101,5.5,1,"NA",1,NA,NA,0,3,89000
1,118,4.5,1," ",6,2,5,NA,2,89000
1,87,3.5,1,"NA",1,2,NA,1,4,89000
1,100,3,1," ",4,2,3,1,3,89000
1,89,3.5,1,"NA",4,1,NA,1,3,89000
1,100,3.5,1," ",4,2,3,1,3,89000
1,84,3,1," ",1,2,5,0,2,89000
1,84,3.5,1,"NA",1,2,NA,0,3,89000
1,170,4.5,1," ",1,1,5,NA,2,89000
1,170,2.5,1,"NA",1,1,NA,0,3,89000
1,170,2.5,1," ",1,1,5,NA,2,89000
1,170,5,1," ",1,1,5,0,2,89000
3,120,3,1," ",3,1,2,0,3,89000
1,108,3,1," ",1,1,2,1,4,89000
1,127,3,1," ",4,3,5,0,3,89000
1,100,5,1," ",4,2,3,1,3,89000
3,81,5,1," ",4,1,2,1,1,89000
3,98,5,1," ",6,1,4,0,1,89000
1,80,4,1," ",6,3,4,1,3,88965
3,150,6,1," ",1,1,4,NA,1,88900
3,150,6,1," ",1,1,4,0,1,88900
1,140,4,1," ",4,3,4,1,3,88700.407
1,126,3,1," ",1,2,2,0,NA,88600
1,141,4.5,1," ",1,1,4,0,4,88500
1,87,3.5,1," ",4,3,4,1,NA,88400
1,180,5.5,1," ",1,1,3,1,2,88200
1,180,5.5,1," ",1,1,3,1,2,88200
1,90,3,1," ",6,1,4,0,1,88068.5
1,73,2,1," ",1,2,3,1,NA,88000
1,96,3,1," ",2,1,5,1,NA,88000
1,152,4.5,1,"NA",1,1,NA,1,3,88000
1,107,4.5,1," ",1,1,3,1,3,88000
2,101,5,1,"NA",4,3,NA,1,1,88000
1,76,5,1,"NA",1,1,NA,0,1,88000
1,96,3,1," ",2,1,5,1,4,88000
1,96,2.5,1," ",2,1,5,1,4,88000
1,96,2.5,1," ",2,1,5,1,NA,88000
1,107,2.5,1," ",1,1,3,1,3,88000
1,107,3,1," ",1,1,2,NA,3,88000
3,88,3,1," ",1,2,4,0,1,88000
1,101,4,1," ",1,2,4,NA,2,87900
1,84,3,1," ",4,2,1,1,2,87800
1,116,4,1," ",1,2,4,1,2,87713.5
1,116,4,1," ",1,2,4,1,2,87713.5
3,78,2,1," ",6,1,4,1,1,87630
1,106,4,1," ",4,1,4,1,2,87500
1,72,3,1,"NA",4,3,NA,1,3,87500
3,118,2,1," ",6,1,4,0,4,87500
1,103,3,1," ",4,1,5,1,2,87500
1,84,2.5,1," ",6,1,3,0,2,87400
1,110,3,1," ",5,2,2,1,NA,87000
1,100,4,1," ",6,3,3,1,4,86990
1,100,4,1," ",6,3,3,1,4,86990
1,80,3,1," ",6,1,4,0,4,86990
3,146,5,1," ",1,1,4,NA,5,86900
3,114,4,1," ",1,1,4,NA,2,86822
1,96,2,3,"NA",4,1,1,0,3,86800
3,96,4,1," ",1,1,4,0,1,86800
1,104,4,NA," ",4,1,NA,NA,NA,86590
1,90,4,1," ",4,3,4,1,NA,86000
1,80,4,1," ",1,1,2,0,NA,86000
1,113,3,1," ",1,1,4,0,NA,86000
1,94,4,1," ",1,1,4,0,3,86000
1,94,2.5,1," ",1,1,4,0,3,86000
1,90,4,1," ",6,1,4,1,3,86000
3,87,3,1," ",6,1,4,1,1,86000
1,87,3.5,1," ",4,3,4,1,NA,85900
1,127,3,1," ",1,2,2,0,NA,85900
1,105,3.5,1," ",1,1,2,0,NA,85900
1,127,3,1," ",1,2,2,0,NA,85900
1,105,3.5,1," ",1,1,2,0,NA,85900
1,138,3.5,1," ",6,NA,5,NA,2,85900
1,127,3,1,"NA",6,2,NA,0,4,85900
1,85,3,1," ",4,3,4,1,1,85900
1,101,2.5,1," ",6,3,2,1,NA,85850
1,92,3.5,1," ",4,2,4,1,NA,85600
1,92,3.5,1," ",4,2,4,1,NA,85600
1,66,3,1," ",4,2,4,1,4,85336.1
1,116,3,1," ",1,2,3,1,NA,85200
1,97,4,1," ",5,3,2,1,NA,85200
1,62,2,1," ",5,3,1,1,NA,85159.2
1,80,2,1," ",4,2,4,1,NA,85010
1,108,3.5,1," ",1,1,3,1,NA,85000
1,72,2.5,1," ",4,3,3,1,NA,85000
1,71,2.5,1,"NA",1,NA,NA,0,3,85000
1,72,2.5,1," ",1,1,1,NA,2,85000
1,72,2.5,1," ",1,1,1,0,2,85000
1,135,5,NA," ",NA,2,NA,NA,NA,85000
1,73,3,1,"NA",4,3,NA,1,3,85000
1,110,3,1," ",6,1,6,1,2,85000
1,135,5,1," ",2,2,5,1,2,85000
3,223,5,1,"NA",1,NA,NA,0,3,85000
3,135,5,1," ",NA,NA,NA,NA,NA,85000
1,103,6,1,"NA",1,2,NA,1,3,85000
3,222,5,1,"NA",1,2,NA,0,3,85000
1,84,4,1," ",2,1,2,0,NA,85000
1,98,3,1,"NA",1,NA,NA,0,3,85000
1,124,3,1," ",6,1,1,1,4,85000
1,124,3.5,1," ",6,1,1,1,4,85000
1,110,3.5,1," ",3,1,6,0,NA,85000
3,283,3,1," ",6,1,1,0,3,85000
1,83,3,1," ",3,1,2,0,3,85000
3,88,2.5,1," ",6,1,4,1,1,85000
1,108,5,1,"NA",1,2,NA,0,3,84990
1,95,3.5,1," ",1,2,NA,NA,2,84990
1,59,2,1," ",6,1,4,NA,1,84990
1,59,3,1," ",6,1,4,NA,1,84990
1,70,3,1," ",1,1,3,1,2,84990
1,70,3,1," ",1,1,3,1,2,84990
1,77,3,1," ",6,1,4,0,4,84990
1,59,3,1," ",6,1,4,0,1,84990
1,59,3,1," ",6,1,4,0,1,84990
1,105,3.5,1," ",1,2,2,0,NA,84900
1,146,4,1," ",1,NA,NA,0,3,84900
1,137,4,1," ",1,NA,NA,0,3,84900
1,105,3.5,1," ",1,2,2,0,NA,84900
1,102,3,1," ",4,2,5,1,NA,84900
1,81,3.5,1," ",1,1,1,NA,3,84900
1,87,3,NA," ",4,1,NA,NA,NA,84900
1,68,3.5,1,"NA",1,2,NA,1,4,84900
1,124,2,NA," ",1,1,NA,NA,NA,84900
1,124,5,1,"NA",1,1,NA,0,3,84900
1,93,5,1,"NA",1,1,NA,1,3,84900
1,86,3,1," ",1,2,4,NA,3,84900
1,102,4,1,"NA",NA,2,NA,0,3,84900
1,110,3.5,1," ",3,1,3,NA,2,84900
1,95,3,1," ",1,2,2,0,NA,84900
1,69,4,1," ",4,3,NA,1,2,84900
1,110,3.5,1," ",3,1,3,0,2,84900
1,124,2,1," ",1,2,3,0,2,84900
1,86,3,1," ",1,3,4,0,3,84900
3,106,3,1," ",1,3,4,1,2,84615
1,94,3.5,1," ",6,1,NA,1,3,84600
1,82,3,1," ",4,3,4,1,NA,84540
1,82,3,1," ",4,3,4,1,NA,84540
1,101,4,NA," ",4,1,NA,NA,NA,84530
1,46,2,1,"NA",4,3,NA,1,3,84500
1,96,4,1," ",4,2,1,1,5,84300
1,88,3,1," ",5,2,2,1,NA,84300
1,87,3,1," ",6,1,4,0,1,84142.8
1,80,2.5,1," ",1,3,3,1,1,84000
1,98,2.5,1," ",1,1,4,0,NA,84000
1,67,3,1,"NA",1,NA,NA,1,4,84000
1,67,2.5,1," ",1,3,1,1,1,84000
1,88,3,1," ",1,1,4,0,1,84000
1,80,2,1," ",1,3,3,1,1,84000
1,57,2,3,"NA",6,2,NA,0,1,83990
3,104,3,1,"NA",6,2,NA,1,1,83900
1,106,4,1," ",1,NA,3,NA,1,83900
1,112,3.5,1," ",1,2,6,0,2,83900
1,98,4,1," ",5,3,2,1,NA,83700
1,67,2.5,1,"NA",4,2,NA,1,3,83500
3,116,5,1," ",NA,NA,NA,NA,NA,83500
1,68,3,1," ",1,1,4,0,1,83400
2,51,2,1," ",6,3,4,1,1,83212.305
1,121,3.5,1,"NA",4,NA,NA,0,3,83000
1,89,3,1," ",5,2,2,1,NA,83000
1,79,4,1," ",4,1,4,1,4,83000
1,120,4,1," ",1,3,4,0,3,83000
1,94,2,1," ",4,3,2,1,NA,82990
3,86,2,1," ",6,2,4,1,1,82990
1,72,4,1," ",4,1,2,1,NA,82990
1,102,3,1,"NA",2,2,NA,1,3,82900
1,70,3,1,"NA",3,2,NA,0,3,82900
1,97,3,1," ",1,NA,3,NA,2,82900
1,130,3,3," ",4,3,4,1,NA,82900
1,90,4,1," ",4,3,4,1,NA,82800
3,95,4,1," ",1,2,4,0,1,82800
1,76,3,1," ",5,3,1,1,NA,82696
1,87,3,1," ",4,2,4,1,NA,82500
1,87,3.5,1," ",4,2,4,1,NA,82500
1,63,3.5,1," ",4,1,2,1,3,82500
1,49,3,1," ",4,2,4,1,4,82338.6
1,102,3,1," ",4,1,4,1,NA,82020
1,83,2,1," ",1,1,4,1,2,82000
1,135,3,1,"NA",4,NA,NA,0,3,82000
1,135,3,NA," ",4,1,NA,NA,NA,82000
1,139,4,1," ",4,NA,5,NA,3,82000
1,138,4,1," ",6,1,3,0,NA,82000
1,86,2,1," ",6,1,4,1,3,82000
2,115,2,1," ",1,1,4,0,1,82000
1,61,4,1," ",1,3,1,1,1,82000
1,138,3,1," ",1,1,3,NA,3,81900
3,107,2.5,1," ",1,1,4,NA,3,81900
1,138,3,1," ",1,1,3,NA,3,81900
1,138,4.5,1," ",1,1,3,NA,3,81900
1,98,4.5,1," ",1,1,1,0,3,81900
1,138,2.5,1," ",1,1,3,0,3,81900
3,107,2.5,1," ",1,1,4,0,3,81900
3,94,2.5,1," ",1,1,4,0,1,81900
1,87,3,1," ",4,2,4,1,NA,81890
1,87,3,1," ",4,2,4,1,NA,81890
2,118,3,1," ",6,1,4,1,3,81723.75
1,102,3,1," ",4,1,4,1,NA,81700
2,118,4,1," ",6,1,4,1,3,81696
1,64,3,1," ",NA,2,4,1,5,81154.06
1,60,3,1,"NA",1,2,NA,1,3,81000
1,110,4,1," ",6,1,2,1,NA,81000
3,162,2,1,"NA",1,2,NA,0,4,81000
1,101,3,1,"NA",6,2,NA,1,3,81000
1,110,3,1," ",4,1,2,1,3,81000
1,88,3.5,1," ",5,2,2,1,NA,81000
1,85,3.5,1," ",6,1,4,1,3,81000
1,75,2,1," ",1,2,1,1,2,80900
1,77,2.5,3,"NA",1,1,1,0,NA,80900
1,75,3,1,"NA",6,NA,NA,0,4,80690
2,111,3.5,1," ",6,2,4,1,3,80586
3,87,3,1," ",4,2,2,1,NA,80524.934
1,101,2.5,1," ",1,2,3,1,NA,80500
1,101,3,1," ",1,2,1,1,2,80500
1,103,3,1," ",1,2,NA,1,2,80500
1,101,3,1," ",1,2,1,1,2,80500
1,44,2,1," ",6,1,4,1,3,80460
1,146,4.5,1," ",1,2,3,0,NA,80300
1,85,4,1," ",1,1,4,1,1,80190
1,83,3.5,1," ",1,2,3,0,2,80000
1,83,2.5,1," ",1,2,3,NA,2,80000
1,71,2.5,1,"NA",NA,2,NA,1,1,80000
1,80,3,1," ",4,1,2,1,NA,80000
1,78,3,1," ",6,2,3,0,NA,80000
1,89,2,1," ",5,1,2,1,NA,80000
1,85,3,1,"NA",5,3,NA,1,1,79990
1,50,3,1," ",6,1,4,NA,1,79990
1,85,2,1," ",4,3,4,1,1,79990
3,86,3,1," ",6,1,4,1,1,79990
1,50,4,1," ",6,1,4,0,1,79990
3,88,3,1," ",6,1,4,1,3,79990
1,85,2,1," ",4,3,4,1,1,79990
1,87,3,1," ",4,2,4,1,NA,79980
1,57,2,1," ",4,2,2,1,NA,79937
1,57,2,1," ",4,2,2,1,NA,79937
1,57,2,1," ",4,2,2,1,NA,79937
1,73,2,1," ",1,2,2,0,NA,79900
1,106,3.5,1," ",2,2,6,1,2,79900
1,64,2.5,1," ",6,2,4,NA,2,79900
1,78,2.5,1," ",1,2,2,0,NA,79900
1,69,3.5,1," ",4,3,1,1,2,79900
3,97,3,1,"NA",1,NA,NA,0,1,79900
1,68,3,1," ",3,1,2,0,NA,79900
1,76,4.5,1,"NA",1,2,NA,0,3,79900
1,77,2,1," ",1,1,2,1,NA,79900
1,90,2,1," ",1,1,1,NA,2,79900
1,90,3,1," ",1,1,1,0,2,79900
1,84,3,1," ",4,1,NA,NA,NA,79900
1,53,2,1,"NA",1,2,NA,1,3,79900
1,132,3.5,1,"NA",1,3,NA,1,3,79900
1,112,2,1," ",1,3,6,1,1,79900
1,112,4,1," ",1,3,6,1,1,79900
1,77,3,1," ",1,1,2,1,NA,79900
1,82,3,1,"NA",1,1,NA,1,3,79900
1,60,2,1,"NA",3,NA,NA,1,3,79900
1,100,2,1," ",1,NA,3,NA,1,79900
1,90,2,1," ",1,1,1,0,2,79900
1,90,5,1," ",1,1,1,NA,2,79900
1,79,3.5,1," ",1,1,NA,1,4,79900
1,81,4,1," ",1,2,2,0,NA,79900
1,73,4,1," ",1,2,2,0,NA,79900
1,78,3,1," ",4,2,3,1,NA,79900
1,132,2,1," ",1,3,3,1,NA,79900
1,90,2,1,"NA",1,1,NA,0,3,79900
1,104,3,1," ",1,1,6,NA,3,79900
1,99,4,1,"NA",1,1,NA,0,3,79900
1,111,3,1," ",1,2,6,1,2,79900
1,94,4.5,1," ",1,1,3,NA,2,79900
1,90,4.5,1," ",1,1,4,NA,1,79900
1,106,4.5,1,"NA",1,2,NA,1,3,79900
1,94,4,1," ",1,3,3,0,2,79900
3,129,4,1," ",1,1,4,0,2,79900
1,114,4.5,1," ",2,1,3,0,2,79900
1,90,3,1," ",1,3,4,0,1,79900
1,83,4,1," ",6,1,3,NA,2,79900
1,104,4.5,1," ",1,1,6,0,3,79900
1,111,3,1," ",1,2,6,1,2,79900
1,117,3.5,3,"NA",2,2,5,0,NA,79800
1,90,4,1," ",4,2,4,1,NA,79800
1,101,2,1," ",1,2,3,0,NA,79800
1,69,2,1,"NA",3,1,NA,1,4,79800
1,81,3,1," ",1,1,2,1,1,79800
1,136,3.5,1,"NA",3,NA,NA,0,3,79550
1,110,2.5,1," ",2,1,3,NA,1,79500
1,113,4,1," ",4,1,NA,NA,3,79500
1,110,4,1," ",2,1,3,0,1,79500
1,89,4,1," ",5,2,5,1,2,79500
1,101,3,1," ",3,2,2,1,NA,79450
1,70,3,1," ",5,1,3,1,3,79400
1,69,3,1," ",1,1,3,NA,4,79000
1,120,3.5,1," ",2,1,6,0,NA,79000
1,76,2,NA," ",1,2,NA,NA,NA,79000
1,104,4,1," ",1,NA,3,NA,3,79000
1,64,4.5,1," ",3,1,2,0,NA,79000
1,76,4.5,1,"NA",1,2,NA,1,4,79000
1,83,2,1," ",4,2,2,1,3,79000
1,83,3,1," ",4,2,2,1,3,79000
1,68,3,1," ",4,3,2,1,NA,79000
1,83,3,1," ",6,1,4,0,3,79000
3,109,2.5,1," ",1,1,4,0,1,79000
1,83,3,1," ",4,2,2,1,3,79000
1,92,4,1," ",4,2,4,1,2,79000
1,92,3,1," ",5,1,4,1,3,78916.267
1,113,2.5,1," ",1,2,2,0,NA,78900
1,110,3.5,1," ",1,2,6,0,NA,78900
1,80,3.5,1,"NA",1,2,NA,1,3,78900
