TelepulesBp1Nv2egyeb3,teruletm2,szobAk,eptAtestApusategla1p,kozoskoltseg,Futesgazcirko1gazkonv,Emeletszutfszfelemf11,allapotfelujAtott1ujsze,Liftigen1nem0,Kilataspanorama1utcai,arEft
3,125,4.5,1," ",6,3,4,1,1,165990
1,157,4.5,1,"NA",1,2,NA,1,3,165000
1,90,4,1," ",1,2,NA,1,1,165000
1,173,2.5,1," ",1,NA,NA,0,4,165000
1,90,4,1,"NA",1,2,NA,1,1,165000
1,90,3,1," ",1,2,1,1,1,165000
1,138,2.5,1," ",1,1,3,0,3,165000
1,130,3.5,1," ",1,2,2,0,NA,164500
1,204,4.5,1," ",1,2,3,1,NA,162000
1,150,4.5,1," ",4,2,3,1,5,160000
1,158,5,1,"NA",1,NA,NA,1,3,160000
1,73,3,1,"NA",4,2,NA,1,1,160000
1,121,3.5,1,"NA",1,2,NA,1,1,160000
1,135,4.5,1," ",6,1,2,0,3,159900
1,145,5.5,1," ",4,1,2,1,3,159900
1,145,4.5,1," ",4,1,NA,1,3,159900
1,144,6,1,"NA",1,2,NA,1,3,159000
1,170,4,1," ",1,1,6,NA,3,159000
1,170,4,1," ",1,1,6,0,3,159000
1,86,4,1," ",6,1,4,1,3,158750
1,121,3,1," ",4,3,4,1,4,158067
1,162,5,1,"NA",4,NA,NA,1,3,158000
1,162,5,1," ",4,1,2,1,3,158000
1,89,5,1," ",1,2,2,0,NA,158000
1,162,4,1," ",4,1,2,1,3,158000
1,166,3.5,1," ",4,1,5,1,2,157500
1,157,4.5,1," ",1,2,3,1,2,157000
1,177,5,1," ",1,3,4,0,3,156000
1,124,5,1," ",4,3,2,1,1,154800
1,124,5,1," ",4,3,2,1,1,154800
1,73,3,3," ",4,2,3,1,1,153900
1,73,3,NA," ",4,2,3,1,1,153900
1,146,4,1," ",4,3,2,1,1,152500
1,135,4,1," ",6,2,4,1,1,151347.28
1,137,3,1," ",4,2,2,1,3,150000
1,98,3,1," ",4,2,2,1,2,150000
1,96,4,1,"NA",1,2,NA,0,1,150000
1,138,4,1,"NA",1,1,NA,0,1,150000
1,137,5,1," ",4,2,2,1,3,150000
1,79,3,1," ",1,3,4,1,2,150000
1,84,2,1," ",6,2,4,NA,1,149990
1,84,2,1," ",6,2,4,NA,1,149990
1,84,2,1," ",6,2,4,0,1,149990
1,84,2,1," ",6,2,4,0,1,149990
1,137,5,1," ",1,2,2,1,NA,149900
1,137,5,1," ",1,2,2,1,NA,149900
1,118,3,1," ",6,2,NA,0,1,149900
1,79,3.5,1,"NA",5,2,NA,1,1,149900
1,135,4,1,"NA",5,2,NA,1,3,149900
1,140,4,1," ",6,1,4,0,3,149076.4
1,158,2.5,1," ",2,2,6,0,NA,149000
1,152,3,1," ",1,2,1,0,2,149000
1,150,4,1,"NA",1,2,NA,1,3,149000
1,148,4,1," ",1,2,3,NA,1,149000
1,152,5,1," ",1,2,1,0,2,149000
1,84,4,1," ",4,3,1,1,1,149000
1,148,5,1," ",1,2,3,0,1,149000
1,148,4,1," ",6,1,4,0,3,148648.85
1,107,2.5,1," ",1,2,1,1,2,148500
1,114,3.5,1,"NA",3,1,NA,1,3,148500
1,150,5,1," ",1,1,3,NA,3,148000
1,150,5,1," ",1,1,3,0,3,148000
1,95,2.5,1," ",3,1,1,NA,3,147000
1,95,2.5,1," ",3,1,1,0,3,147000
1,105,4,1," ",4,1,2,1,5,147000
1,108,4,1,"NA",1,2,NA,0,3,146000
1,112,3.5,1," ",4,3,1,1,2,146000
1,96,3,1,"NA",1,NA,NA,1,4,145000
1,107,3,1," ",1,1,2,1,4,145000
1,107,3,1," ",1,1,2,1,4,145000
1,103,3,1," ",1,2,1,1,2,145000
1,157,4.5,1,"NA",1,2,NA,0,1,145000
1,152,4.5,1,"NA",4,2,NA,0,1,144900
1,95,3.5,1," ",1,2,4,1,3,144600
1,116,4,1," ",1,1,2,1,NA,144000
1,103,3,1," ",1,1,2,1,2,144000
1,103,3,1," ",1,1,2,1,2,144000
1,125,3,1," ",1,2,2,1,2,143750
1,148,6.5,1,"NA",1,2,NA,0,1,142500
1,187,3.5,1,"NA",1,1,NA,0,3,141900
1,88,2,1," ",4,1,1,1,2,141706.5
1,95,3.5,1," ",1,2,4,0,3,141600
