Település;ár;terület (m^2);Szobák;Építés típusa;Futés;Emelet;Ing. állapota;Lift;Megye
Budapest VIII ker;59 900 000 Ft;65;2 + 1;tégla;házközponti egyedi méréssel;2;felújított;igen;Budapest
Pusztaszabolcs;17 000 000 Ft;62;3;tégla;elektromos;nincs megadva;nincs megadva;nincs;Fejér
Budapest XIII ker;49 500 000 Ft;57;2;csúszózsalusbeton;házközponti egyedi méréssel;4;felújított;igen;Budapest
Budapest VII ker;29 000 000 Ft;40;1;tégla;gáz (konvektor);1;felújítandó;nem;Budapest
Székesfehérvár;25 499 000 Ft;49;2;panel;távfutés;7;nincs megadva;van;Fejér
Budapest III ker;94 999 000 Ft;120;3;tégla;házközponti egyedi mérovel;7;nincs megadva;van;Budapest
Pécs;14 990 000 Ft;59;2 + 1;panel;távfutés egyedi mérovel;8;nincs megadva;van;Baranya
Budapest XIII ker;49 500 000 Ft;57;2;nincs megadva;házközponti egyedi méréssel;4;felújított;igen;Budapest
Budapest VIII ker;25 500 000 Ft;28;1 + 1;tégla;gáz (konvektor);földszint;jó állapotú;nem;Budapest
Budapest VII ker;29 000 000 Ft;40;1;tégla;gáz (konvektor);1;felújítandó;NA;Budapest
Budapest IX ker;29 900 000 Ft;55;2;tégla;házközponti egyedi méréssel;3;újszeru (kevesebb mint 10éves);nem;Budapest
Hajdúszoboszló;16 900 000 Ft;54;1 + 1;panel;távfutés;3;nincs megadva;nincs;Hajdú-Bihar
Budapest IX ker;33 480 000 Ft;55;2;csúszózsalusbeton;távfutés;4;közepes állapotú;nem;Budapest
Budapest IX ker;28 900 000 Ft;30;1;tégla;gáz (konvektor);1;újszeru (kevesebb mint 10éves);nem;Budapest
Budapest VIII ker;30 000 000 Ft;42;2;tégla;gáz (konvektor);1;újszeru (kevesebb mint 10éves);igen;Budapest
Budapest XVIII ker;29 900 000 Ft;53;1 + 2;panel;távfutés egyedi mérovel;5;nincs megadva;van;Budapest
Gyöngyös;38 000 000 Ft;99;2 + 2;tégla;elektromos;1;nincs megadva;nincs;Heves
Komárom;19 900 000 Ft;64;3;- nem meghatározott -;központi futés;2;jó;NA;Komárom-Esztergom
Tata;23 800 000 Ft;56;2;- nem meghatározott -;központi futés;1;jó;NA;Komárom-Esztergom
Gyor;22 000 000 Ft;53;2;panel;távfutés;10;nincs megadva;van;Gyor-Moson-Sopron
Miskolc;11 400 000 Ft;55;2;panel;távfutés;nincs megadva;nincs megadva;van;Borsod-Abaúj-Zemplén
Budapest V ker;39 900 000 Ft;30;1 + 1;tégla;elektromos;5;felújított;igen;Budapest
Szombathely;20 990 000 Ft;65;2 + 1;tégla;gáz - cirko;nincs megadva;nincs megadva;nincs;Vas
Szeged;26 500 000 Ft;63;2 + 1;tégla;gáz (cirko);3;felújított;nem;Csongrád
Gyor;19 900 000 Ft;62;2 + 1;nincs megadva;távfutés;nincs megadva;nincs megadva;NA;Gyor-Moson-Sopron
Zalaegerszeg;15 900 000 Ft;57;2;panel;gáz - konvektor;2;nincs megadva;nincs;Zala
Miskolc;12 600 000 Ft;42;1 + 1;panel;gáz - konvektor;2;nincs megadva;nincs;Borsod-Abaúj-Zemplén
Budapest V ker;39 900 000 Ft;30;1 + 1;tégla;elektromos;5;felújított;igen;Budapest
Nyíregyháza;24 900 000 Ft;71;3;csúsztatott zsalus;távfutés egyedi mérovel;3;nincs megadva;nincs;Szabolcs-Szatmár-Bereg
Budapest XIV ker;59 900 000 Ft;109;5 + 1;tégla;gáz (cirko);tetotér;felújított;nem;Budapest
Sajószentpéter;15 000 000 Ft;52;1 + 1;tégla;gáz (konvektor);1;felújított;nem;Borsod-Abaúj-Zemplén
Budapest IX ker;45 990 000 Ft;41;2;tégla;egyéb;1;új építésu;igen;Budapest
Budapest XIV ker;37 500 000 Ft;48;1 + 1;tégla;gáz - cirko;5;nincs megadva;van;Budapest
Budapest XI ker;159 900 000 Ft;135;5 + 1;tégla;egyéb;földszint;újszeru;nem;Budapest
Budapest XIII ker;100 000 000 Ft;105;2;tégla;gáz (cirko);földszint;felújított;nem;Budapest
Budapest IX ker;24 500 000 Ft;27;1;tégla;gáz - konvektor;4;nincs megadva;van;Budapest
Kecskemét;22 500 000 Ft;55;2;tégla;távfutés;2;felújított;nem;Bács-Kiskun
Budapest VIII ker;44 900 000 Ft;75;2;tégla;egyéb;1;felújítandó;igen;Budapest
Budapest XI ker;139 500 000 Ft;124;4;tégla;egyéb;földszint;új építésu;igen;Budapest
Budapest XIII ker;100 000 000 Ft;105;2;tégla;gáz (cirko);földszint;felújított;nem;Budapest
Siófok;31 500 000 Ft;97;3 + 1;tégla;gáz - cirko;nincs megadva;nincs megadva;nincs;Somogy
Debrecen;19 900 000 Ft;35;1 + 1;panel;távfutés egyedi mérovel;1;nincs megadva;van;Hajdú-Bihar
Budapest XI ker;129 500 000 Ft;108;4;tégla;egyéb;2;új építésu;igen;Budapest
Budapest VI ker;41 999 990 Ft;44;2;tégla;elektromos;nincs megadva;nincs megadva;van;Budapest
Budapest VIII ker;44 900 000 Ft;75;2;tégla;egyéb;1;felújítandó;igen;Budapest
Budaörs;81 900 000 Ft;94;2 + 2;tégla;gáz (cirko);földszint;új építésu;nem;Pest
Budapest XII ker;89 000 000 Ft;101;4 + 1;tégla;gáz - cirko;nincs megadva;nincs megadva;nincs;Budapest
Budapest IX ker;50 360 000 Ft;42;1 + 1;tégla;egyéb;1;új építésu;igen;Budapest
Budapest XIV ker;59 900 000 Ft;109;5 + 1;tégla;gáz (cirko);3;felújított;NA;Budapest
Budapest XV ker;88 000 000 Ft;107;5;tégla;gáz (cirko);földszint;jó állapotú;igen;Budapest
Veszprém;22 890 000 Ft;48;2 + 1;tégla;gáz (konvektor);magasföldszint;közepes állapotú;nem;Veszprém
Szolnok;14 900 000 Ft;48;1 + 1;tégla;gáz (konvektor);2;közepes állapotú;NA;Jász-Budapestgykun-Szolnok
Budapest IV ker;29 900 000 Ft;53;2 + 1;panel;távfutés egyedi mérovel;7;nincs megadva;van;Budapest
Szolnok;13 900 000 Ft;48;1 + 1;tégla;gáz (konvektor);2;közepes állapotú;NA;Jász-Budapestgykun-Szolnok
Budapest XIV ker;45 900 000 Ft;68;3;csúsztatott zsalus;gáz - konvektor;nincs megadva;nincs megadva;nincs;Budapest
Budapest XV ker;47 600 000 Ft;68;3;tégla;gáz (cirko);nincs megadva;új építésu;NA;Budapest
Budapest XV ker;59 500 000 Ft;85;2;tégla;gáz (cirko);nincs megadva;új építésu;NA;Budapest
Budapest XV ker;48 300 000 Ft;69;3;tégla;gáz (cirko);nincs megadva;új építésu;NA;Budapest
Budapest XV ker;40 600 000 Ft;58;2;tégla;gáz (cirko);nincs megadva;új építésu;NA;Budapest
Bicske;30 000 000 Ft;114;5;tégla;egyéb;magasföldszint;jó állapotú;nem;Fejér
Eger;32 000 000 Ft;56;2;tégla;gáz - cirko;3;nincs megadva;nincs;Heves
Budapest VII ker;44 990 000 Ft;50;1;tégla;gáz (konvektor);magasföldszint;újszeru;NA;Budapest
Budapest VI ker;119 000 000 Ft;77;2;tégla;házközponti futés;1;jó állapotú;igen;Budapest
Budapest VII ker;59 850 000 Ft;68;2;tégla;elektromos;3;felújított;nem;Budapest
Budapest III ker;44 900 000 Ft;66;3;panel;távfutés egyedi mérovel;9;felújított;igen;Budapest
Budapest VII ker;24 990 000 Ft;28;1;tégla;gáz - konvektor;3;nincs megadva;nincs;Budapest
Budapest XVII ker;19 500 000 Ft;27;1;panel;távfutés;nincs megadva;jó állapotú;NA;Budapest
Budapest VIII ker;48 900 000 Ft;45;2;tégla;elektromos;nincs megadva;nincs megadva;nincs;Budapest
Debrecen;39 900 000 Ft;69;3;tégla;gáz - cirko;1;nincs megadva;nincs;Hajdú-Bihar
Polgárdi;20 000 000 Ft;60;1 + 2;tégla;gáz - cirko;nincs megadva;nincs megadva;nincs;Fejér
Budapest XI ker;67 500 000 Ft;58;3;tégla;gáz - cirko;nincs megadva;nincs megadva;nincs;Budapest
Budapest XVIII ker;55 990 000 Ft;78;1 + 2;tégla;házközponti egyedi méréssel;2;újszeru (kevesebb mint 10éves);nem;Budapest
Budapest III ker;44 900 000 Ft;66;3;panel;távfutés egyedi mérovel;11;felújított;igen;Budapest
Budapest VIII ker;31 999 000 Ft;57;2;tégla;gáz (konvektor);3;jó állapotú;nem;Budapest
Budapest XV ker;88 000 000 Ft;107;5;tégla;gáz (cirko);földszint;jó állapotú;igen;Budapest
Budapest VIII ker;89 500 000 Ft;120;4 + 2;tégla;gáz (cirko);földszint;felújított;nem;Budapest
Budapest VI ker;122 158 270 Ft;81;3;tégla;gáz (cirko);4;új építésu;igen;Budapest
Budapest IV ker;21 900 000 Ft;35;1 + 1;panel;távfutés;8;közepes állapotú;igen;Budapest
Budapest VI ker;186 761 900 Ft;106;5;tégla;gáz (cirko);tetotér;új építésu;igen;Budapest
Gyömro;35 600 000 Ft;75;2 + 1;tégla;elektromos;földszint;új építésu;nem;Pest
Budapest XVIII ker;25 500 000 Ft;53;1 + 1;nincs megadva;gáz (konvektor);földszint;felújított;nem;Budapest
Budapest XX ker;18 900 000 Ft;35;1;tégla;gáz (konvektor);földszint;felújítandó;NA;Budapest
Gyömro;35 600 000 Ft;75;2 + 1;tégla;elektromos;földszint;új építésu;nem;Pest
Pécs;31 000 000 Ft;69;2 + 1;tégla;elektromos;nincs megadva;nincs megadva;nincs;Baranya
Körmend;12 500 000 Ft;51;2;tégla;gáz (konvektor);4;közepes állapotú;nem;Vas
Budapest IX ker;43 900 000 Ft;56;2;tégla;házközponti egyedi méréssel;1;felújított;igen;Budapest
Budapest IX ker;34 900 000 Ft;54;2;tégla;házközponti futés;3;felújítandó;igen;Budapest
Kaposvár;19 800 000 Ft;66;2 + 1;tégla;gáz - konvektor;nincs megadva;nincs megadva;nincs;Somogy
Budapest II ker;56 500 000 Ft;64;2;tégla;gáz (cirko);nincs megadva;jó állapotú;NA;Budapest
Dunaharaszti;53 000 000 Ft;84;1 + 3;tégla;gáz (cirko);1;új építésu;NA;Pest
Budapest XX ker;14 990 000 Ft;30;1;tégla;gáz - konvektor;nincs megadva;nincs megadva;nincs;Budapest
Pécs;26 999 999 Ft;47;2;tégla;elektromos;nincs megadva;nincs megadva;nincs;Baranya
Dunaharaszti;47 000 000 Ft;69;1 + 2;tégla;gáz (cirko);földszint;új építésu;NA;Pest
Dunaharaszti;47 000 000 Ft;69;3;tégla;gáz (cirko);földszint;új építésu;NA;Pest
Dunaharaszti;45 900 000 Ft;70;1 + 2;tégla;gáz (cirko);1;új építésu;NA;Pest
Dunaharaszti;49 000 000 Ft;72;3;tégla;gáz (cirko);földszint;új építésu;NA;Pest
Budapest VII ker;26 900 000 Ft;32;1;tégla;gáz - konvektor;3;nincs megadva;nincs;Budapest
Dunaharaszti;48 500 000 Ft;73;3;tégla;gáz (cirko);földszint;új építésu;NA;Pest
Budapest IX ker;46 900 000 Ft;59;2;tégla;gáz (cirko);3;felújított;igen;Budapest
Budapest VIII ker;89 500 000 Ft;120;4 + 2;tégla;gáz (cirko);földszint;felújított;NA;Budapest
Budapest IV ker;21 900 000 Ft;35;1 + 1;panel;távfutés;8;közepes állapotú;igen;Budapest
Gyömro;36 600 000 Ft;75;2 + 1;tégla;elektromos;földszint;új építésu;nem;Pest
Budapest XIX ker;55 000 000 Ft;95;2 + 1;tégla;gáz (héra);földszint;jó állapotú;nem;Budapest
Dunaharaszti;49 900 000 Ft;83;1 + 3;tégla;gáz (cirko);földszint;új építésu;NA;Pest
Budapest XX ker;14 990 000 Ft;29;1;tégla;gáz - konvektor;nincs megadva;nincs megadva;nincs;Budapest
Gyömro;35 600 000 Ft;75;2 + 1;tégla;elektromos;földszint;új építésu;nem;Pest
Budapest VIII ker;99 900 000 Ft;111;4;tégla;gáz (cirko);2;felújított;NA;Budapest
Gyömro;35 600 000 Ft;75;2 + 1;tégla;elektromos;földszint;új építésu;nem;Pest
Siófok;22 000 000 Ft;40;1;tégla;gáz (cirko);tetotér;újszeru;nem;Somogy
Gyömro;36 600 000 Ft;75;2 + 1;tégla;elektromos;földszint;új építésu;nem;Pest
Budapest VIII ker;73 900 000 Ft;83;3;tégla;gáz - cirko;2;nincs megadva;nincs;Budapest
Budapest XI ker;124 056 000 Ft;109;4;tégla;egyéb;2;új építésu;nem;Budapest
Gyömro;36 600 000 Ft;75;2 + 1;tégla;elektromos;földszint;új építésu;nem;Pest
Budapest IX ker;44 900 000 Ft;43;2;tégla;házközponti egyedi méréssel;2;újszeru;igen;Budapest
Budapest XI ker;148 648 850 Ft;148;4;tégla;egyéb;földszint;új építésu;nem;Budapest
Salgótarján;4 200 000 Ft;37;1 + 1;tégla;kályha;nincs megadva;nincs megadva;nincs;Nógrád
Budapest VII ker;46 500 000 Ft;41;2;tégla;gáz - cirko;1;nincs megadva;nincs;Budapest
Budapest XV ker;33 500 000 Ft;68;3;panel;távfutés;nincs megadva;nincs megadva;nincs;Budapest
Budapest VIII ker;49 250 000 Ft;68;3;tégla;házközponti egyedi méréssel;2;új építésu;igen;Budapest
Budapest XIV ker;54 500 000 Ft;77;2 + 1;tégla;házközponti egyedi méréssel;1;építés alatt;igen;Budapest
Budapest VIII ker;52 000 000 Ft;69;3;tégla;házközponti egyedi méréssel;1;új építésu;igen;Budapest
Budapest VIII ker;48 500 000 Ft;50;2;tégla;házközponti egyedi méréssel;7;új építésu;igen;Budapest
Budapest VIII ker;55 000 000 Ft;69;3;tégla;házközponti egyedi méréssel;5;új építésu;igen;Budapest
Budapest VIII ker;50 750 000 Ft;68;3;tégla;házközponti egyedi méréssel;4;építés alatt;igen;Budapest
Budapest VIII ker;40 000 000 Ft;46;2;tégla;házközponti egyedi méréssel;7;építés alatt;igen;Budapest
Budapest VIII ker;34 500 000 Ft;37;1 + 1;tégla;házközponti egyedi méréssel;6;új építésu;igen;Budapest
Budapest IX ker;56 900 000 Ft;62;2 + 1;tégla;házközponti egyedi méréssel;6;új építésu;igen;Budapest
Budapest VIII ker;36 750 000 Ft;45;2;tégla;házközponti egyedi méréssel;6;építés alatt;igen;Budapest
Budapest VIII ker;49 250 000 Ft;68;3;tégla;házközponti egyedi méréssel;2;új építésu;igen;Budapest
Budapest VIII ker;49 000 000 Ft;61;2 + 1;tégla;házközponti egyedi méréssel;6;új építésu;igen;Budapest
Budapest VIII ker;51 000 000 Ft;69;3;tégla;házközponti egyedi méréssel;4;építés alatt;igen;Budapest
Budapest VIII ker;36 250 000 Ft;45;1 + 1;tégla;házközponti egyedi méréssel;6;új építésu;igen;Budapest
Budapest XIII ker;69 900 000 Ft;75;2 + 2;tégla;gáz (cirko);1;felújított;igen;Budapest
Budapest VIII ker;34 750 000 Ft;45;2;tégla;házközponti egyedi méréssel;3;építés alatt;igen;Budapest
Budapest VIII ker;49 500 000 Ft;69;3;tégla;házközponti egyedi méréssel;2;új építésu;igen;Budapest
Budapest XIV ker;23 000 000 Ft;32;1;tégla;gáz - konvektor;nincs megadva;nincs megadva;nincs;Budapest
Budapest XIII ker;69 900 000 Ft;75;2 + 2;tégla;gáz (cirko);1;felújított;igen;Budapest
Budapest VIII ker;53 500 000 Ft;69;3;tégla;házközponti egyedi méréssel;3;új építésu;igen;Budapest
Budapest VIII ker;51 750 000 Ft;66;3;tégla;házközponti egyedi méréssel;5;építés alatt;igen;Budapest
Budapest VIII ker;49 000 000 Ft;61;2 + 1;tégla;házközponti egyedi méréssel;6;új építésu;igen;Budapest
Budapest VIII ker;48 750 000 Ft;61;2 + 1;tégla;házközponti egyedi méréssel;3;új építésu;igen;Budapest
Budapest VIII ker;49 500 000 Ft;69;3;tégla;házközponti egyedi méréssel;2;új építésu;igen;Budapest
Budapest VIII ker;47 500 000 Ft;61;2 + 1;tégla;házközponti egyedi méréssel;4;új építésu;igen;Budapest
Budapest XIV ker;58 300 000 Ft;82;3;tégla;gáz - cirko;3;nincs megadva;van;Budapest
Budapest VIII ker;48 500 000 Ft;50;2;tégla;házközponti egyedi méréssel;7;építés alatt;igen;Budapest
Budapest VIII ker;55 000 000 Ft;69;3;tégla;házközponti egyedi méréssel;5;építés alatt;igen;Budapest
Budapest VIII ker;48 500 000 Ft;54;2 + 1;tégla;házközponti egyedi méréssel;6;új építésu;igen;Budapest
Budapest VIII ker;50 250 000 Ft;68;3;tégla;házközponti egyedi méréssel;3;új építésu;igen;Budapest
Budapest VIII ker;34 500 000 Ft;37;1 + 1;tégla;házközponti egyedi méréssel;6;építés alatt;igen;Budapest
Budapest VIII ker;48 750 000 Ft;61;2 + 1;tégla;házközponti egyedi méréssel;3;új építésu;igen;Budapest
Budapest XII ker;65 000 000 Ft;93;2;tégla;gáz (cirko);nincs megadva;felújítandó;NA;Budapest
Budapest VIII ker;47 500 000 Ft;61;2 + 1;tégla;házközponti egyedi méréssel;4;új építésu;igen;Budapest
Szekszárd;19 500 000 Ft;97;4 + 1;tégla;távfutés egyedi mérovel;1;nincs megadva;van;TolBudapest
Budapest VIII ker;49 000 000 Ft;61;2 + 1;tégla;házközponti egyedi méréssel;6;építés alatt;igen;Budapest
Budapest VIII ker;54 000 000 Ft;69;3;tégla;házközponti egyedi méréssel;6;új építésu;igen;Budapest
Budapest VIII ker;36 250 000 Ft;45;1 + 1;tégla;házközponti egyedi méréssel;6;építés alatt;igen;Budapest
Budapest XIV ker;78 500 000 Ft;98;4;tégla;házközponti egyedi méréssel;félemelet;építés alatt;igen;Budapest
Budapest VIII ker;50 250 000 Ft;68;3;tégla;házközponti egyedi méréssel;3;új építésu;igen;Budapest
Budapest IX ker;32 900 000 Ft;38;1 + 1;tégla;geotermikus;5;nincs megadva;van;Budapest
Budapest VIII ker;55 250 000 Ft;75;2 + 2;tégla;házközponti egyedi méréssel;4;új építésu;igen;Budapest
Budapest VIII ker;49 000 000 Ft;61;2 + 1;tégla;házközponti egyedi méréssel;6;építés alatt;igen;Budapest
Budapest XIV ker;68 500 000 Ft;98;2 + 2;tégla;házközponti egyedi méréssel;1;építés alatt;igen;Budapest
Budapest VIII ker;46 750 000 Ft;53;2 + 1;tégla;házközponti egyedi méréssel;7;új építésu;igen;Budapest
Budapest VIII ker;53 500 000 Ft;69;3;tégla;házközponti egyedi méréssel;3;új építésu;igen;Budapest
Budapest XIV ker;78 500 000 Ft;98;4;tégla;házközponti egyedi méréssel;félemelet;új építésu;igen;Budapest
Budapest IX ker;58 900 000 Ft;62;3;tégla;házközponti egyedi méréssel;1;új építésu;igen;Budapest
Budapest VIII ker;56 750 000 Ft;75;2 + 2;tégla;házközponti egyedi méréssel;3;új építésu;igen;Budapest
Budapest VIII ker;37 500 000 Ft;64;3;csúsztatott zsalus;távfutés egyedi mérovel;9;nincs megadva;van;Budapest
Budapest VIII ker;48 500 000 Ft;54;2 + 1;tégla;házközponti egyedi méréssel;6;építés alatt;igen;Budapest
Budapest VIII ker;47 500 000 Ft;61;2 + 1;tégla;házközponti egyedi méréssel;4;új építésu;igen;Budapest
Pécs;44 500 000 Ft;74;3;tégla;gáz (cirko);földszint;új építésu;nem;Baranya
Budapest VIII ker;46 750 000 Ft;53;2 + 1;tégla;házközponti egyedi méréssel;7;új építésu;igen;Budapest
Budapest XIV ker;68 500 000 Ft;98;2 + 2;tégla;házközponti egyedi méréssel;1;új építésu;igen;Budapest
Budapest III ker;37 900 000 Ft;69;3;tégla;nincs megadva;nincs megadva;új építésu;NA;Budapest
Budapest XIV ker;69 500 000 Ft;98;2 + 2;tégla;házközponti egyedi méréssel;2;építés alatt;igen;Budapest
Budapest III ker;28 800 000 Ft;48;2;tégla;nincs megadva;nincs megadva;új építésu;NA;Budapest
Budapest VIII ker;57 500 000 Ft;75;2 + 2;tégla;házközponti egyedi méréssel;4;új építésu;igen;Budapest
Budapest III ker;26 800 000 Ft;45;1;tégla;nincs megadva;nincs megadva;új építésu;NA;Budapest
Budapest XIV ker;70 500 000 Ft;98;2 + 2;tégla;házközponti egyedi méréssel;3;építés alatt;igen;Budapest
Budapest VIII ker;54 000 000 Ft;69;3;tégla;házközponti egyedi méréssel;6;építés alatt;igen;Budapest
Budapest XIV ker;69 500 000 Ft;98;2 + 2;tégla;házközponti egyedi méréssel;2;új építésu;igen;Budapest
Budapest VIII ker;47 500 000 Ft;61;2 + 1;tégla;házközponti egyedi méréssel;4;új építésu;igen;Budapest
Budapest VI ker;89 900 000 Ft;116;3;tégla;nincs megadva;3;nincs megadva;van;Budapest
Budapest VIII ker;48 250 000 Ft;56;1 + 2;tégla;házközponti egyedi méréssel;7;új építésu;igen;Budapest
Zalaegerszeg;12 900 000 Ft;37;1 + 1;panel;gáz - konvektor;1;nincs megadva;nincs;Zala
Budapest XIV ker;70 500 000 Ft;98;2 + 2;tégla;házközponti egyedi méréssel;3;új építésu;igen;Budapest
Budapest XIV ker;73 500 000 Ft;98;4;tégla;házközponti egyedi méréssel;4;építés alatt;igen;Budapest
Budapest VIII ker;46 750 000 Ft;53;2 + 1;tégla;házközponti egyedi méréssel;7;építés alatt;igen;Budapest
Budapest VIII ker;59 000 000 Ft;75;2 + 2;tégla;házközponti egyedi méréssel;6;új építésu;igen;Budapest
Budapest XIV ker;71 750 000 Ft;98;2 + 2;tégla;házközponti egyedi méréssel;4;építés alatt;igen;Budapest
Budapest XIV ker;73 500 000 Ft;98;4;tégla;házközponti egyedi méréssel;4;új építésu;igen;Budapest
Budapest VIII ker;55 250 000 Ft;75;2 + 2;tégla;házközponti egyedi méréssel;4;új építésu;igen;Budapest
Budapest VIII ker;67 500 000 Ft;58;2 + 1;tégla;házközponti egyedi méréssel;7;új építésu;igen;Budapest
Budapest VIII ker;46 750 000 Ft;53;2 + 1;tégla;házközponti egyedi méréssel;7;építés alatt;igen;Budapest
Budapest VIII ker;46 750 000 Ft;61;2 + 1;tégla;házközponti egyedi méréssel;1;építés alatt;igen;Budapest
Budapest XIV ker;71 750 000 Ft;98;2 + 2;tégla;házközponti egyedi méréssel;4;új építésu;igen;Budapest
Szigetvár;12 900 000 Ft;71;2;nincs megadva;gáz - cirko;nincs megadva;nincs megadva;nincs;Baranya
Budapest VIII ker;50 750 000 Ft;68;3;tégla;házközponti egyedi méréssel;4;új építésu;igen;Budapest
Budapest VIII ker;56 750 000 Ft;75;2 + 2;tégla;házközponti egyedi méréssel;3;új építésu;igen;Budapest
Budapest XIV ker;54 500 000 Ft;77;2 + 1;tégla;házközponti egyedi méréssel;1;új építésu;igen;Budapest
Budapest VIII ker;46 750 000 Ft;61;2 + 1;tégla;házközponti egyedi méréssel;1;új építésu;igen;Budapest
Budapest VIII ker;48 750 000 Ft;68;3;tégla;házközponti egyedi méréssel;1;új építésu;igen;Budapest
Budapest VIII ker;48 250 000 Ft;56;1 + 2;tégla;házközponti egyedi méréssel;7;új építésu;igen;Budapest
Budapest VIII ker;51 000 000 Ft;69;3;tégla;házközponti egyedi méréssel;4;új építésu;igen;Budapest
Budapest VIII ker;40 000 000 Ft;46;2;tégla;házközponti egyedi méréssel;7;új építésu;igen;Budapest
Budapest VIII ker;57 500 000 Ft;75;2 + 2;tégla;házközponti egyedi méréssel;4;építés alatt;igen;Budapest
Budapest VIII ker;36 750 000 Ft;45;2;tégla;házközponti egyedi méréssel;6;új építésu;igen;Budapest
Budapest VIII ker;48 750 000 Ft;68;3;tégla;házközponti egyedi méréssel;1;új építésu;igen;Budapest
Budapest VIII ker;52 000 000 Ft;69;3;tégla;házközponti egyedi méréssel;1;új építésu;igen;Budapest
Debrecen;53 990 000 Ft;60;1 + 1;tégla;távfutés egyedi mérovel;nincs megadva;nincs megadva;nincs;Hajdú-Bihar
Budapest VIII ker;67 500 000 Ft;58;2 + 1;tégla;házközponti egyedi méréssel;7;építés alatt;igen;Budapest
Budapest VIII ker;51 750 000 Ft;66;3;tégla;házközponti egyedi méréssel;5;új építésu;igen;Budapest
Budapest VIII ker;34 750 000 Ft;45;2;tégla;házközponti egyedi méréssel;3;új építésu;igen;Budapest
Budapest VIII ker;59 000 000 Ft;75;2 + 2;tégla;házközponti egyedi méréssel;6;építés alatt;igen;Budapest
Budapest V ker;43 800 000 Ft;60;1 + 1;tégla;gáz (konvektor);2;közepes állapotú;nem;Budapest
Szolnok;13 590 000 Ft;49;2;panel;távfutés;2;nincs megadva;van;Jász-Budapestgykun-Szolnok
Debrecen;38 300 000 Ft;68;1 + 3;tégla;gáz - cirko;2;nincs megadva;nincs;Hajdú-Bihar
Szigetszentmiklós;40 000 000 Ft;78;2;tégla;gáz - cirko;1;nincs megadva;nincs;Pest
Budapest VI ker;68 900 000 Ft;69;3;tégla;gáz - cirko;3;nincs megadva;nincs;Budapest
Pécs;22 900 000 Ft;54;3;tégla;gáz - cirko;2;nincs megadva;nincs;Baranya
Budapest VIII ker;117 000 000 Ft;149;5 + 2;tégla;gáz (cirko);félemelet;felújított;igen;Budapest
Pécs;49 500 000 Ft;87;4;tégla;gáz (cirko);földszint;új építésu;nem;Baranya
Budapest VII ker;62 990 000 Ft;69;2 + 2;tégla;gáz - cirko;4;nincs megadva;van;Budapest
Gyor;88 000 000 Ft;101;3;tégla;házközponti egyedi mérovel;6;nincs megadva;van;Gyor-Moson-Sopron
Budapest XIII ker;64 000 000 Ft;84;2 + 1;tégla;gáz - cirko;4;nincs megadva;van;Budapest
Debrecen;19 700 000 Ft;35;1 + 1;panel;távfutés egyedi mérovel;1;nincs megadva;van;Hajdú-Bihar
Budapest VIII ker;29 900 000 Ft;50;2;tégla;gáz - cirko;3;nincs megadva;nincs;Budapest
Budapest XI ker;57 900 000 Ft;65;1 + 2;tégla;távfutés;3;nincs megadva;van;Budapest
Budapest XIV ker;70 900 000 Ft;97;3 + 1;tégla;gáz (cirko);földszint;jó állapotú;nem;Budapest
Budapest XIII ker;70 900 000 Ft;67;2 + 1;tégla;gáz (cirko);1;felújított;igen;Budapest
Budapest II ker;137 900 000 Ft;108;2;tégla;központi futés;6;kiváló;igen;Budapest
Gyor;24 800 000 Ft;64;2 + 1;panel;távfutés egyedi mérovel;6;nincs megadva;van;Gyor-Moson-Sopron
Budapest IX ker;39 999 000 Ft;47;1 + 1;tégla;gáz - cirko;3;nincs megadva;van;Budapest
Budapest XVII ker;29 999 990 Ft;56;1 + 2;panel;távfutés;4;felújított;NA;Budapest
Mende;68 200 000 Ft;105;2 + 2;tégla;egyéb;földszint;új építésu;nem;Pest
Budapest VIII ker;31 500 000 Ft;64;3;panel;házközponti egyedi méréssel;7;felújított;igen;Budapest
Budapest V ker;139 900 000 Ft;100;3;tégla;gáz (cirko);3;felújított;igen;Budapest
Mende;29 999 000 Ft;63;3;tégla;egyéb;földszint;új építésu;nem;Pest
Budapest XVII ker;29 999 990 Ft;56;1 + 2;panel;távfutés;4;felújított;nem;Budapest
Budapest II ker;43 000 000 Ft;49;1 + 2;tégla;gáz (cirko);1;közepes állapotú;NA;Budapest
Budapest II ker;43 000 000 Ft;49;1 + 2;tégla;gáz (cirko);1;közepes állapotú;nem;Budapest
Budapest VIII ker;31 500 000 Ft;64;3;panel;házközponti egyedi méréssel;7;felújított;igen;Budapest
Budapest V ker;139 900 000 Ft;100;3;tégla;gáz (cirko);3;felújított;igen;Budapest
Nagykanizsa;14 500 000 Ft;66;2 + 1;panel;gáz - konvektor;7;nincs megadva;van;Zala
Demecser;4 935 000 Ft;64;2;tégla;gáz - konvektor;nincs megadva;nincs megadva;nincs;Szabolcs-Szatmár-Bereg
Gyula;53 000 000 Ft;157;4;tégla;gáz - cirko;nincs megadva;nincs megadva;nincs;Békés
Mende;30 999 000 Ft;63;3;tégla;egyéb;földszint;új építésu;nem;Pest
Mende;40 999 000 Ft;87;3 + 1;tégla;egyéb;1;új építésu;nem;Pest
Miskolc;14 900 000 Ft;61;2 + 1;panel;távfutés;3;nincs megadva;van;Borsod-Abaúj-Zemplén
