Település;ár;terület (m^2);Szobák;Építés típusa;Futés;Emelet;Ing. állapota;Lift;Megye
Budapest I ker;27 200 000 Ft;39;2;tégla;távfutés;szuterén;felújított;NA;Budapest
Sopron;31 800 000 Ft;53;2;tégla;elektromos;1;felújított;NA;Gyor-Moson-Sopron
Budapest VII ker;62 000 000 Ft;82;2 + 1;tégla;gáz (cirko);földszint;közepes állapotú;NA;Budapest
Sopron;27 500 000 Ft;45;2;tégla;elektromos;1;felújított;NA;Gyor-Moson-Sopron
Budapest VII ker;62 000 000 Ft;82;2 + 1;tégla;gáz (cirko);földszint;közepes állapotú;nem;Budapest
Sopron;26 500 000 Ft;44;2;tégla;elektromos;1;felújított;NA;Gyor-Moson-Sopron
Veszprém;32 000 000 Ft;56;1 + 2;tégla;távfutés egyedi mérovel;2;nincs megadva;nincs;Veszprém
Sopron;34 800 000 Ft;58;2;tégla;elektromos;1;felújított;NA;Gyor-Moson-Sopron
Sopron;21 500 000 Ft;34;2;tégla;elektromos;magasföldszint;felújított;NA;Gyor-Moson-Sopron
Szolnok;29 900 000 Ft;96;3;tégla;gáz (cirko);tetotér;közepes állapotú;nem;Jász-Budapestgykun-Szolnok
Debrecen;12 900 000 Ft;18;1;panel;távfutés;4;jó állapotú;nem;Hajdú-Bihar
Sopron;34 500 000 Ft;57;2 + 1;tégla;elektromos;földszint;felújított;NA;Gyor-Moson-Sopron
Budapest I ker;52 000 000 Ft;61;2;tégla;távfutés;nincs megadva;nincs megadva;van;Budapest
Szolnok;29 900 000 Ft;96;3;tégla;gáz (cirko);2;közepes állapotú;NA;Jász-Budapestgykun-Szolnok
Szolnok;39 500 000 Ft;96;3;tégla;gáz (cirko);tetotér;közepes állapotú;nem;Jász-Budapestgykun-Szolnok
Sopron;25 800 000 Ft;43;2;tégla;elektromos;földszint;felújított;NA;Gyor-Moson-Sopron
Budapest VIII ker;18 000 000 Ft;25;1;tégla;gáz - konvektor;3;nincs megadva;nincs;Budapest
Budapest VII ker;59 800 000 Ft;79;3;tégla;nincs megadva;nincs megadva;felújításra szorul;igen;Budapest
Sopron;22 500 000 Ft;36;2;tégla;elektromos;földszint;felújított;NA;Gyor-Moson-Sopron
Szolnok;39 500 000 Ft;96;3;tégla;gáz (cirko);2;közepes állapotú;NA;Jász-Budapestgykun-Szolnok
Budapest VI ker;46 990 000 Ft;55;2;tégla;gáz (cirko);1;felújított;nem;Budapest
Gyor;23 890 000 Ft;58;2 + 1;panel;távfutés;4;nincs megadva;nincs;Gyor-Moson-Sopron
Pápa;33 100 000 Ft;127;2;tégla;gáz - cirko;1;nincs megadva;nincs;Veszprém
Sopron;13 500 000 Ft;21;1;tégla;elektromos;földszint;felújított;NA;Gyor-Moson-Sopron
Kehidakustány;7 990 000 Ft;37;1 + 1;tégla;elektromos;nincs megadva;nincs megadva;nincs;Zala
Budapest VI ker;122 172 804 Ft;84;3;tégla;gáz (cirko);4;új építésu;igen;Budapest
Budapest VI ker;68 000 000 Ft;55;2 + 2;tégla;egyéb;1;újszeru (kevesebb mint 10éves);nem;Budapest
Budapest V ker;79 900 000 Ft;73;2;tégla;gáz (cirko);3;újszeru (kevesebb mint 10éves);nem;Budapest
Budapest IV ker;28 000 000 Ft;53;1 + 2;panel;házközponti futés;9;jó állapotú;igen;Budapest
Budapest IV ker;17 990 000 Ft;33;1;tégla;gáz (héra);1;újszeru (kevesebb mint 10éves);nem;Budapest
Budapest XX ker;24 500 000 Ft;43;1 + 1;tégla;gáz (konvektor);földszint;jó állapotú;nem;Budapest
Budapest VIII ker;69 500 000 Ft;117;4 + 1;tégla;gáz (cirko);2;közepes állapotú;nem;Budapest
Budapest VIII ker;31 900 000 Ft;57;2;tégla;gáz (cirko);2;közepes állapotú;nem;Budapest
Budapest XIII ker;18 700 000 Ft;33;1 + 1;tégla;elektromos;szuterén;újszeru (kevesebb mint 10éves);nem;Budapest
Budapest VI ker;186 761 900 Ft;122;3 + 2;tégla;gáz (cirko);5;új építésu;igen;Budapest
Budapest XIII ker;22 800 000 Ft;23;1;tégla;gáz (konvektor);2;jó állapotú;nem;Budapest
Budapest IX ker;79 900 000 Ft;106;3 + 1;tégla;gáz (konvektor);3;közepes állapotú;igen;Budapest
Tatabánya;19 490 000 Ft;53;2;panel;távfutés egyedi mérovel;félemelet;nincs megadva;NA;Komárom-Esztergom
Budapest XIII ker;65 000 000 Ft;64;2;tégla;házközponti egyedi méréssel;4;új építésu;igen;Budapest
Budapest VI ker;40 000 000 Ft;75;3 + 2;tégla;gáz (cirko);földszint;újszeru (kevesebb mint 10éves);nem;Budapest
Budapest VIII ker;34 900 000 Ft;41;1 + 1;tégla;gáz (konvektor);2;közepes állapotú;nem;Budapest
Budapest IV ker;34 100 000 Ft;55;1 + 2;panel;távfutés;4;jó állapotú;nem;Budapest
Budapest VIII ker;49 990 000 Ft;61;2 + 1;tégla;gáz (konvektor);1;újszeru (kevesebb mint 10éves);nem;Budapest
Budapest VI ker;97 500 000 Ft;119;4;tégla;gáz (cirko);5;nincs megadva;igen;Budapest
Budapest XIV ker;28 700 000 Ft;46;1 + 1;panel;házközponti egyedi méréssel;3;újszeru (kevesebb mint 10éves);igen;Budapest
Budapest XIV ker;28 900 000 Ft;36;1;tégla;egyéb;földszint;újszeru (kevesebb mint 10éves);nem;Budapest
Budapest XI ker;35 900 000 Ft;48;2;tégla;nincs megadva;5;felújítandó;igen;Budapest
Budapest XIII ker;36 990 000 Ft;58;2;panel;távfutés;10;jó állapotú;igen;Budapest
Budapest IX ker;85 010 000 Ft;80;2;tégla;házközponti egyedi méréssel;4;új építésu;igen;Budapest
Budapest VI ker;124 629 050 Ft;86;3;tégla;gáz (cirko);4;új építésu;igen;Budapest
Budapest V ker;89 500 000 Ft;77;2;tégla;gáz (cirko);2;újszeru (kevesebb mint 10éves);nem;Budapest
Budapest VI ker;49 500 000 Ft;74;1 + 2;tégla;elektromos;3;újszeru (kevesebb mint 10éves);nem;Budapest
Budapest XX ker;26 900 000 Ft;54;2;panel;házközponti egyedi méréssel;6;jó állapotú;igen;Budapest
Budapest VI ker;45 900 000 Ft;53;2;tégla;gáz (cirko);3;közepes állapotú;nem;Budapest
Herceghalom;72 771 000 Ft;105;5;te´gla csu´szo´zsalusbeton egye´b;egye´b;fo¨ldszint;u´j e´pi´te´su<U+030B>;nem;Pest
Budapest IV ker;25 790 000 Ft;54;2;panel;távfutés;8;jó állapotú;igen;Budapest
Budapest XIV ker;27 900 000 Ft;46;1 + 1;panel;házközponti egyedi méréssel;10;jó állapotú;igen;Budapest
Budapest XIV ker;21 800 000 Ft;29;1;tégla;gáz (konvektor);szuterén;jó állapotú;nem;Budapest
Budapest VII ker;69 900 000 Ft;88;2 + 1;tégla;gáz (cirko);földszint;jó állapotú;nem;Budapest
Budapest IV ker;25 990 000 Ft;35;1 + 1;panel;házközponti futés;9;jó állapotú;igen;Budapest
Budapest VIII ker;31 900 000 Ft;59;1 + 1;tégla;gáz (cirko);3;újszeru (kevesebb mint 10éves);igen;Budapest
Budapest XI ker;31 900 000 Ft;39;1 + 1;panel;távfutés;3;jó állapotú;igen;Budapest
Budapest IX ker;79 800 000 Ft;117;3 + 1;te´gla csu´szo´zsalusbeton egye´b;gáz (konvektor);3;felu´ji´tando´;nem;Budapest
Budapest X ker;23 500 000 Ft;51;2;panel;távfutés;földszint;közepes állapotú;igen;Budapest
Budapest XIII ker;26 500 000 Ft;41;1 + 1;tégla;gáz (konvektor);2;jó állapotú;nem;Budapest
Budapest VI ker;26 700 000 Ft;27;1;tégla;gáz (konvektor);1;közepes állapotú;nem;Budapest
Budapest VIII ker;25 500 000 Ft;25;1;tégla;gáz (cirko);földszint;újszeru (kevesebb mint 10éves);nem;Budapest
Budapest V ker;88 000 000 Ft;73;2;tégla;gáz (cirko);4;jó állapotú;igen;Budapest
Budapest XIII ker;99 990 000 Ft;110;4 + 1;tégla;házközponti egyedi méréssel;4;új építésu;igen;Budapest
Budapest I ker;35 900 000 Ft;52;2;tégla;elektromos;magasföldszint;újszeru (kevesebb mint 10éves);igen;Budapest
Budapest V ker;63 000 000 Ft;50;1 + 1;tégla;gáz (cirko);1;újszeru (kevesebb mint 10éves);igen;Budapest
Budapest XX ker;29 950 000 Ft;59;2;panel;távfutés;1;közepes állapotú;nem;Budapest
Budapest XIII ker;57 400 000 Ft;71;2 + 1;tégla;házközponti egyedi méréssel;1;új építésu;igen;Budapest
Budapest XIII ker;59 900 000 Ft;73;3;tégla;gáz (cirko);földszint;újszeru (kevesebb mint 10éves);igen;Budapest
Budapest IV ker;42 290 000 Ft;75;2 + 1;panel;távfutés;3;jó állapotú;nem;Budapest
Budapest VI ker;61 900 000 Ft;60;2;tégla;gáz (cirko);3;jó állapotú;igen;Budapest
Budapest V ker;73 000 000 Ft;70;2;tégla;gáz (cirko);magasföldszint;jó állapotú;igen;Budapest
Budapest XIII ker;40 900 000 Ft;68;2;tégla;gáz (cirko);földszint;felújítandó;nem;Budapest
Budapest V ker;61 000 000 Ft;53;2;tégla;házközponti futés;magasföldszint;újszeru (kevesebb mint 10éves);igen;Budapest
Budapest VIII ker;22 500 000 Ft;31;1;tégla;gáz (konvektor);1;felújítandó;nem;Budapest
Budapest VIII ker;33 000 000 Ft;62;2;tégla;gáz (cirko);2;jó állapotú;igen;Budapest
Budapest VIII ker;34 600 000 Ft;64;2 + 1;csúszózsalusbeton;házközponti egyedi méréssel;9;jó állapotú;igen;Budapest
Budapest VI ker;32 990 000 Ft;40;1;tégla;gáz (konvektor);4;jó állapotú;igen;Budapest
Budapest XVIII ker;29 400 000 Ft;34;1 + 1;tégla;gáz (cirko);1;újszeru (kevesebb mint 10éves);nem;Budapest
Budapest XIV ker;27 500 000 Ft;43;1;tégla;gáz (konvektor);1;jó állapotú;nem;Budapest
Budapest XIV ker;32 900 000 Ft;50;2;panel;távfutés;1;újszeru (kevesebb mint 10éves);nem;Budapest
Budapest XIII ker;69 000 000 Ft;52;1 + 1;tégla;házközponti egyedi méréssel;5;újszeru (kevesebb mint 10éves);igen;Budapest
Budapest XXII ker;26 500 000 Ft;44;1 + 1;tégla;házközponti futés;4;felújított;van;Budapest
Budapest XIII ker;51 700 000 Ft;63;2 + 1;tégla;házközponti egyedi méréssel;1;új építésu;igen;Budapest
Budapest XIV ker;45 000 000 Ft;51;1 + 2;tégla;távfutés;földszint;újszeru (kevesebb mint 10éves);nem;Budapest
Budapest XIV ker;38 500 000 Ft;40;2;tégla;gáz (cirko);2;újszeru (kevesebb mint 10éves);nem;Budapest
Budapest XXI ker;24 900 000 Ft;53;1 + 2;panel;házközponti egyedi méréssel;8;jó állapotú;igen;Budapest
Budapest I ker;98 000 000 Ft;94;2 + 1;te´gla csu´szo´zsalusbeton egye´b;gáz (cirko);1;felu´ji´tott;nem;Budapest
Budapest VIII ker;31 900 000 Ft;45;1 + 1;panel;házközponti egyedi méréssel;7;jó állapotú;igen;Budapest
Budapest VIII ker;33 000 000 Ft;39;3;tégla;gáz (cirko);földszint;újszeru (kevesebb mint 10éves);nem;Budapest
Tata;38 000 000 Ft;70;1 + 2;tégla;egyéb;nincs megadva;nincs megadva;NA;Komárom-Esztergom
Budapest XIII ker;32 000 000 Ft;57;1 + 2;tégla;gáz;1;jó állapotú;nem;Budapest
Budapest XIV ker;84 900 000 Ft;105;3 + 1;tégla;gáz (cirko);2;újszeru (kevesebb mint 10éves);nem;Budapest
Budapest XXII ker;43 900 000 Ft;100;1 + 2;tégla;gáz (cirko);földszint;jó állapotú;nem;Budapest
Budapest X ker;31 900 000 Ft;80;2;tégla;gáz (konvektor);földszint;közepes állapotú;nem;Budapest
Budapest III ker;36 000 000 Ft;49;1 + 1;tégla;gáz (konvektor);1;újszeru (kevesebb mint 10éves);nem;Budapest
Budapest XIII ker;47 900 000 Ft;68;3;panel;házközponti egyedi méréssel;4;újszeru (kevesebb mint 10éves);igen;Budapest
Budapest VIII ker;59 900 000 Ft;63;2;tégla;gáz (cirko);1;jó állapotú;igen;Budapest
Budapest XXII ker;30 500 000 Ft;64;2 + 1;egyéb;gáz (cirko);földszint;jó állapotú;nem;Budapest
Budapest XX ker;11 000 000 Ft;28;1;tégla;elektromos;földszint;közepes állapotú;nem;Budapest
Budapest XX ker;18 900 000 Ft;31;1;tégla;gáz (konvektor);1;újszeru (kevesebb mint 10éves);nem;Budapest
Szentendre;74 890 000 Ft;113;4 + 1;te´gla csu´szo´zsalusbeton egye´b;gáz (cirko);1;u´j e´pi´te´su<U+030B>;nem;Pest
Budapest III ker;52 450 000 Ft;69;2;tégla;gáz (cirko);földszint;jó állapotú;nem;Budapest
Budapest XII ker;39 500 000 Ft;39;1 + 1;tégla;gáz (cirko);földszint;újszeru (kevesebb mint 10éves);igen;Budapest
Budapest VI ker;39 900 000 Ft;51;2;nincs megadva;gáz (konvektor);2;felújított;NA;Budapest
Budapest XX ker;22 300 000 Ft;30;1;tégla;házközponti egyedi méréssel;1;jó állapotú;igen;Budapest
