"","telepules","ar_e_ft","terulet_m_2","szobak","epites_tipusa","futes","emelet","ing_allapota","lift","megye","egesz_szoba","felszobak_szama","regio"
"18","Budapest III ker",22000,32,"1","panel","kozponti",6,"közepes állapotú","1","Budapest",1,0,"Budapest"
"19","Budapest XIII ker",27900,36,"1","tégla","tavfutes",6,"közepes állapotú","1","Budapest",1,0,"Budapest"
"20","Budapest XIII ker",27900,36,"1","tégla","tavfutes",6,"közepes állapotú","1","Budapest",1,0,"Budapest"
"21","Budapest XIII ker",27900,36,"1","tégla","tavfutes",6,"közepes állapotú","1","Budapest",1,0,"Budapest"
"22","Budapest III ker",31000,36,"1","tégla","kozponti",6,"felújított","1","Budapest",1,0,"Budapest"
"23","Budapest XIII ker",31900,28,"1","tégla","kozponti",5,"jó állapotú","1","Budapest",1,0,"Budapest"
"24","Budapest VIII ker",28900,28,"1","tégla","kozponti",5,"újszerű","1","Budapest",1,0,"Budapest"
"25","Budapest XIII ker",35000,37,"1","tégla","kozponti",5,"közepes állapotú","1","Budapest",1,0,"Budapest"
"26","Budapest VIII ker",34600,41,"1","tégla","kozponti",5,"közepes állapotú","1","Budapest",1,0,"Budapest"
"27","Budapest IX ker",35500,49,"1","tégla","gaz",5,"újszerű","1","Budapest",1,0,"Budapest"
"28","Budapest IX ker",35500,49,"1","tégla","gaz",5,"újszerű","1","Budapest",1,0,"Budapest"
"29","Budapest VIII ker",21900,33,"1","panel","tavfutes",5,"felújítandó","1","Budapest",1,0,"Budapest"
"30","Budapest VI ker",37900,44,"1","tégla","kozponti",5,"felújítandó","1","Budapest",1,0,"Budapest"
"31","Budapest VI ker",37900,44,"1","tégla","kozponti",5,"felújítandó","1","Budapest",1,0,"Budapest"
"32","Budapest VII ker",53000,27,"1","tégla","kozponti",5,"felújított","1","Budapest",1,0,"Budapest"
"33","Debrecen",12900,18,"1","panel","tavfutes",4,"jó állapotú","0","Hajdú-Bihar",1,0,"Eszak_Alfold"
"34","Budapest VI ker",32990,40,"1","tégla","gaz",4,"jó állapotú","1","Budapest",1,0,"Budapest"
"35","Budapest XI ker",26500,33,"1","tégla","gaz",4,"jó állapotú","0","Budapest",1,0,"Budapest"
"36","Budapest XIV ker",30000,34,"1","tégla","gaz",4,"jó állapotú","1","Budapest",1,0,"Budapest"
"37","Budapest V ker",47500,43,"1","tégla","kozponti",4,"jó állapotú","1","Budapest",1,0,"Budapest"
"38","Vác",24900,43,"1","tégla","gaz",4,"jó állapotú","1","Pest",1,0,"Pest"
"39","Budapest IX ker",56900,54,"1","tégla","kozponti",4,"új építésű","1","Budapest",1,0,"Budapest"
"40","Budapest XIV ker",30000,34,"1","tégla","gaz",4,"jó állapotú","1","Budapest",1,0,"Budapest"
"41","Budapest V ker",36500,33,"1","tégla","kozponti",4,"közepes állapotú","1","Budapest",1,0,"Budapest"
